id,fullName
1414,John Franco
1759,Jerry Browne
1821,Orestes Destrade
1986,Mario Diaz
2063,Greg Briley
2495,Matias Carrillo
2547,Ryan Bowen
2966,Luis Ortiz
2980,Jerry Brooks
3258,Joe Hudson
3555,Josh Booty
3757,Manuel Barrios
4574,Albert Pujols
4640,Justin Miller
4781,Dom Chiti
4826,Randy Knorr
4867,Brian Snitker
4953,Ed Sedar
5192,Oliver Perez
5301,Ricardo Rodriguez
5403,Adam Wainwright
5544,Miguel Cabrera
5883,Zack Greinke
5904,Edwin Encarnacion
5917,Scott Kazmir
5921,Jeff Mathis
5943,Andres Blanco
5986,Yadier Molina
6021,Jose Castro
6128,Rene Rivera
6194,Felix Hernandez
6204,Robinson Cano
6205,Shin-Soo Choo
6211,Francisco Liriano
6216,Cole Hamels
6242,Nelson Cruz
6280,Ervin Santana
6321,Rich Hill
6341,Justin Verlander
6389,Ryan Zimmerman
6393,Dustin Pedroia
6401,Edinson Volquez
6455,Cameron Maybin
6470,Yusmeiro Petit
6472,Anibal Sanchez
6478,Nick Markakis
6524,Howie Kendrick
10074,Ruben Salazar
10276,Toby Rumfield
10566,Juan Tolentino
10630,Jose Garcia
12193,Steve Woodward
12563,Tony Shelby
28476,Matt Kemp
28487,Jon Lester
28561,Chris Iannetta
28563,Andrew Miller
28617,Drew Anderson
28636,Alex Gordon
28639,Evan Longoria
28668,Homer Bailey
28670,Joey Votto
28671,Asdrubal Cabrera
28687,Hunter Pence
28688,Joakim Soria
28694,Tyler Clippard
28701,Andrew McCutchen
28721,Ryan Braun
28729,Joe Smith
28734,Brandon Morrow
28802,Kurt Suzuki
28817,J.A. Happ
28841,Justin Upton
28864,Ian Kennedy
28867,Wladimir Balentien
28877,Emilio Bonifacio
28895,Ross Detwiler
28915,Jerry Blevins
28955,Johnny Cueto
28957,Wade Davis
28958,David Price
28959,Jake McGee
28962,Gio Gonzalez
28963,Clayton Kershaw
28968,Carlos Carrasco
28976,Max Scherzer
29074,Jed Lowrie
29081,Darren O'Day
29105,Sean Rodriguez
29124,Matt Joyce
29140,Tim C Dillard
29155,Charlie Morton
29166,Jeff Samardzija
29168,Sergio Romo
29170,Chris Davis
29172,David Robertson
29174,Brett Gardner
29189,Travis Snider
29198,Tommy Hunter
29200,Daniel Murphy
29211,Sean Kazmar Jr.
29212,Pablo Sandoval
29220,Jesse Chavez
29228,Wilkin Castillo
29229,Alcides Escobar
29238,Wade LeBlanc
29239,Fernando Perez
29252,Dexter Fowler
29273,Francisco Cervelli
29287,Matt Wieters
29330,Andrew Romine
29416,Lorenzo Cain
29430,Deolis Guerra
29436,Drew Butera
29446,Mark Melancon
29470,Austin Romine
29515,Elvis Andrus
29524,Erik Kratz
29551,Jason Heyward
29563,Josh Donaldson
29564,Welington Castillo
29590,Neil Walker
