pitcher,pitcher_name,p_throws,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle,arm_angle_type
434378,Justin Verlander,R,77.0,53.9,-18.605239085239088,85.15172557172558,30.683333550147534,High Three-Quarters
445276,Kenley Jansen,R,77.0,53.9,-25.255575221238935,77.03398230088496,47.39824899094255,High Three-Quarters
445926,Jesse Chavez,R,73.0,51.099999999999994,-19.203906976744186,61.68586046511628,61.068203105979705,Low Three-Quarters
450203,Charlie Morton,R,77.0,53.9,-28.20907290729073,66.22909090909091,66.39000720686647,Low Three-Quarters
455119,Chris Martin,R,80.0,56.0,-35.591298701298705,72.78467532467532,64.68442780370665,Low Three-Quarters
458677,Justin Wilson,L,74.0,51.8,17.32155844155844,76.24623376623377,34.98112084260614,High Three-Quarters
458681,Lance Lynn,R,77.0,53.9,-39.12974935177183,67.22219533275714,71.08106119675988,Low Three-Quarters
471911,Carlos Carrasco,R,76.0,53.199999999999996,-16.604861111111113,70.83791666666667,43.186335947133784,High Three-Quarters
472610,Luis García,R,74.0,51.79999999999999,-27.285675675675677,75.28783783783784,49.22293969903332,High Three-Quarters
489119,Wade Miley,L,73.0,51.099999999999994,22.749152542372883,74.84237288135593,43.744578221115326,High Three-Quarters
489446,Kirby Yates,R,70.0,49.0,-29.633804347826086,61.73869565217392,66.70083705097616,Low Three-Quarters
493603,Adam Ottavino,R,77.0,53.9,-31.830831234256927,64.26438287153653,71.89280252426408,Low Three-Quarters
500779,Jose Quintana,L,73.0,51.099999999999994,26.376064690026954,70.30921832884097,53.93825713836646,High Three-Quarters
502043,Kyle Gibson,R,78.0,54.599999999999994,-26.475012386457475,74.609083402147,52.803959820144684,High Three-Quarters
502085,David Robertson,R,71.0,49.699999999999996,-32.62364779874214,69.35899371069182,58.9101290794628,High Three-Quarters
502179,Paolo Espino,R,70.0,49.0,-12.662168674698796,65.85975903614458,36.55054534164964,High Three-Quarters
502624,Chase Anderson,R,73.0,51.099999999999994,-16.554497354497354,69.39809523809524,39.81087064652855,High Three-Quarters
506433,Yu Darvish,R,77.0,53.9,-23.36081081081081,67.31189189189189,59.99405489338342,High Three-Quarters
518397,Scott Alexander,L,74.0,51.8,21.016363636363636,69.20590909090909,50.34775569657643,High Three-Quarters
518489,Ryan Brasier,R,72.0,50.4,-16.514074074074074,69.74740740740741,40.252913429690274,High Three-Quarters
518585,Fernando Cruz,R,74.0,51.8,-12.629274193548387,72.5516129032258,31.25151571607081,High Three-Quarters
518617,Jake Diekman,L,76.0,53.199999999999996,49.043125,67.0228125,74.2326373513361,Low Three-Quarters
518876,Merrill Kelly,R,74.0,51.8,-21.890526315789472,66.32842105263158,56.40645841065955,High Three-Quarters
518886,Craig Kimbrel,R,72.0,50.4,-34.14757894736842,57.22610526315789,78.66190913498038,Low Three-Quarters
519008,T.J. McFarland,L,75.0,52.5,24.980377358490564,63.62781671159029,65.9712679496739,Low Three-Quarters
